language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42
band1358,-,-,-,m,a,m,-,i,r,-,-,-,-,-,y,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
yuga1244,-,-,-,m,u,m,-,e,r,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
minj1242,-,-,-,m,u,n,m,e,r,-,-,-,-,-,a,-,-,b,-,o,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
yaga1262,-,-,-,m,i,l,b,u,l,-,-,-,p,-,u,-,-,b,-,u,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
duun1241,-,-,-,m,-,-,-,i,l,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dhar1248,-,-,-,m,u,n,d,a,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
awab1243,-,-,-,m,o,-,-,-,r,-,-,-,-,-,o,-,-,-,-,-,-,n,-,-,-,-,k,a,t,e,a,k,E,n,u,-,-,-,n,-,-,-
gath1234,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,g,i,r,-,-,-,-,r,u,-,-,-,-,-,-,-
birr1241,-,-,-,m,o,-,-,-,t,-,-,-,-,-,a,-,-,-,-,-,-,N,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
sydn1236,-,-,-,m,u,-,-,-,d,-,-,-,-,-,a,-,-,-,-,-,-,N,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
sydn1236,-,-,-,m,u,-,-,-,t,-,-,-,-,-,u,-,-,-,-,-,-,N,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
hawk1239,-,-,-,m,u,-,-,-,d,-,-,-,-,-,a,-,-,-,-,-,-,N,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
nort2760,-,-,-,m,u,-,-,-,r,-,-,-,-,-,u,-,-,-,-,-,-,N,-,a,-,-,k,a,d,o,m,b,-,-,a,-,-,-,-,-,-,-
ngun1277,-,-,-,m,u,-,-,-,l,-,-,-,-,-,a,-,-,-,-,-,-,N,-,-,-,-,g,a,r,-,-,-,-,-,i,-,-,-,-,-,-,-
ngar1297,k,u,-,b,u,k,-,u,d,-,-,-,y,-,a,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
thur1254,-,-,-,m,u,-,-,-,r,-,-,-,u,N,a,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-
dhur1239,-,-,-,m,u,-,-,-,r,7,r,o,w,-,a,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
lowe1402,-,-,-,m,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,N,-,u,N,-,k,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-
narr1259,-,-,-,t,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,m,-,-,-,-,b,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-
alya1239,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,t,-,e,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
west2441,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,t,-,e,-,-,t,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-
mbab1239,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,-,E,-,-,-,r,-,-,-
leni1238,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,N,-,-,-,-,g,-,-,-,-,-,-,-,a,-,-,-,y,-,-,-
angu1242,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,a,t,i,m,i,-,-,-
