language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39
rirr1238,-,-,b,-,-,-,-,-,-,i,-,-,n,-,-,-,-,-,-,-,-,d,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
yann1237,g,a,d,-,-,-,-,-,-,a,-,-,w,-,-,-,u,-,-,-,-,L,-,k,-,-,-,-,w,u,-,-,-,-,L,-,-,k,-
djin1253,-,-,g,-,-,-,-,-,-,i,-,-,L,-,i,w,u,r,-,w,a,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
madh1244,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,a,-,n,-,i,N,-,-,-,-
wadi1249,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,e,-,n,-,i,N,-,-,i,-
wath1238,-,-,5,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,i,-,-,l,i,-,n,-,i,n,-,-,-,-
woiw1238,-,-,k,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,l,-,g,-,i,-,-,d,a,-,n,-,i,n,-,-,-,-
bung1264,-,-,y,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,y,-,-,-,-,-,-,-,-,-,-,-,i,r,-,-,-,-
cola1237,-,-,k,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-,r,e,g,n,e,-,-,d,e,g,n,-,e,n,-,n,o,k
yort1237,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,g,-,-,-,-,-,-,-,a,-,N,-,u,r,-,-,-,-
wang1291,-,-,p,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,a,-,-,-,-,n,-,-,-,-
wira1262,-,-,d,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,a,-,-,-,-,r,-,-,-,-
gami1243,-,-,d,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,a,-,-,-,-,r,-,-,-,-
gami1243,-,-,d,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,a,-,-,-,-,r,-,-,-,-
yuwa1242,-,-,4,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,u,-,-,-,-,n,-,-,-,-
kumb1268,-,-,g,u,-,-,-,g,-,i,-,-,n,-,-,-,-,-,-,-,-,d,-,-,-,-,-,-,-,a,-,-,-,-,r,-,-,-,-
band1358,-,-,d,-,-,-,-,-,-,a,-,-,n,-,-,-,a,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
yuga1244,-,-,d,-,-,-,-,-,-,u,-,-,n,-,-,-,a,-,-,-,-,r,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
minj1242,-,-,t,-,-,-,-,-,-,u,-,-,n,-,-,-,e,-,-,-,-,r,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
yaga1262,-,-,g,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
duun1241,-,-,g,-,-,-,-,-,-,u,-,-,N,-,-,g,i,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
gure1255,-,-,b,-,-,-,-,-,-,o,-,-,l,-,-,-,o,-,-,-,-,d,-,-,-,-,-,-,-,a,-,y,g,u,l,-,-,-,-
awab1243,-,-,n,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
gath1234,-,-,d,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,r,a,-,-,-,-,w,-,-,-,-
birr1241,-,-,t,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,o,-,-,w,e,-,-,-,-,r,-,-,-,-
sydn1236,-,-,b,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,b,i,-,-,-,-,-,-,-,-,-
sydn1236,-,-,b,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,b,a,-,-,-,-,-,-,-,-,-
nort2760,-,-,d,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,a,-,-,w,a,-,-,-,-,-,-,-,-,-
thur1254,-,-,k,u,t,a,h,r,T,i,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,b,e,-,-,-,-,n,-,-,-,-
dhur1239,-,-,g,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,b,a,-,-,-,-,N,a,m,a,-
lowe1402,-,-,t,-,-,-,-,-,-,e,-,-,n,-,-,-,i,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
narr1259,p,-,r,-,-,-,-,-,-,i,-,-,w,-,-,-,a,-,-,-,-,r,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-
alya1239,-,-,N,-,-,-,-,-,-,-,-,-,-,-,-,k,e,-,-,-,-,r,-,-,-,-,-,-,-,a,-,-,-,-,l,-,-,y,-
ande1247,-,-,N,-,-,-,-,-,-,-,-,-,-,-,-,k,e,-,-,-,-,r,-,-,-,-,-,-,-,a,-,-,-,-,l,-,-,y,-
west2441,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,T,i,-,-,-,-,p,-,-,-,-,-,-,m,a,-,-,-,-,-,-,-,-,-
mbab1239,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,r,-,-,-,-,-,-,-,a,-,m,-,-,-,-,-,-,-
aghu1254,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
leni1238,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,x,-,-,-,-,-,-,-,a,t,p,-,u,y,-,-,-,-
