language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46
rita1239,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,N,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
rirr1238,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,N,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
yann1237,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,N,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
djin1253,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,N,-,-,i,d,T,-,-,-,-,-,-,i,-,-,-,-,-,-,-
madh1244,-,-,-,-,y,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
wath1238,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,r,-,-,u,-,k,-,-,-,-,-,-,i,-,-,-,-,-,-,-
bung1264,-,-,-,-,g,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
cola1237,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,a,m,e,b,-,-,-,e,r,n,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,t,-,-
yort1237,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,t,-,T,-,-,-,-,p,-,-,-,-,-,-,a,-,-,-,-,-,-,-
yabu1234,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,a,-,T,-,-,-,-,b,-,-,-,-,-,-,i,-,-,-,-,-,-,-
pall1243,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,y,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
wang1291,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,N,-,-,-,-,i,-,-,-,-,-,-,a,-,-,-,-,-,-,-
wira1262,-,-,-,-,m,-,-,i,n,u,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,n,-,d,e,-,y,-,-,-,-,-,-,a,-,e,h,7,7,-,-
gami1243,-,-,-,-,k,-,-,u,-,r,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-
gami1243,-,-,-,-,g,-,-,u,-,w,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-
yuwa1242,-,-,-,-,g,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-
kumb1268,-,-,-,-,g,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,y,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-
band1358,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
yuga1244,-,-,-,-,g,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
yaga1262,-,e,-,a,T,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-
yaga1256,-,-,-,-,T,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
baty1234,-,-,-,-,y,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,m,-,-
dhar1248,-,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-
awab1243,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,y,-,-,-,-,e,-,-,-,-,-,-,e,-,-,-,-,n,-,-
gath1234,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,y,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
birr1241,-,-,-,-,p,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,y,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-
sydn1236,-,-,-,-,g,-,-,o,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-
hawk1239,-,-,-,-,N,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,N,-,-,-,-,g,-,-,-,-,-,-,a,-,-,-,-,-,-,-
ngar1297,-,-,-,-,b,a,i,a,-,l,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,N,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
thur1254,-,-,-,-,g,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
dhur1239,-,-,-,-,y,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
lowe1402,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,a,p,u,-,-,n,-,-
narr1259,-,-,t,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,N,-,-,-,-,g,-,-,-,-,-,-,a,-,-,-,-,l,-,-
alya1239,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,l,-,-,e,-,y,-,-,-,-,-,-,e,-,-,-,-,l,-,-
ande1247,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,N,-,-,-,-,k,-,-,-,-,-,-,e,-,-,-,-,m,-,-
west2441,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,N,-,-,-,-,k,-,-,-,-,-,-,a,-,-,-,-,m,a,-
leni1238,-,-,-,o,b,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,4,-,-,-,-,-,N,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,T,-,-
