language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44
vann1244,-,-,-,-,h,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,3,-,-,-,b,u,s
iris1253,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,T,-,-,-,-,-,-,-,-,-,-,E,-,-,-,h,-,-
oldi1245,-,-,-,-,s,-,-,-,-,-,-,-,-,y,-,-,-,-,-,-,k,-,-,-,-,-,y,-,-,-,-,-,-,-,-,-,-,E,-,i,8,y,-,-
manx1243,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-
bakh1245,7,o,-,-,v,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,r,-,-,-,d,-,-,-,a,k,b,o,l,-,-,o,-,-,-,-,-,-
cent2264,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,l,a,a,-,t,-,-,-,a,-,-,-,r,-,-,e,-,-,-,-,-,-
pahl1241,g,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-
kumz1235,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,e,-,-,-,r,a,S,a,-,-,-,-,-,-
khot1251,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,E,-,-,-,-,-,-
yusu1238,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,z,k,a,-,t,-,-,-,3,-,-,-,l,-,-,-,-,-,-,-,-,-
iron1242,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,3,-,-,-,n,-,-
digo1242,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,u,-,-,-,n,-,-
ashr1238,t,-,S,-,h,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,d,-,-,a,-,-,-,-,-,-
kala1373,t,-,S,-,h,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,u,-,-,-,g,-,-
gawa1247,t,-,s,-,h,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,d,-,-,i,-,-,-,k,-,-
khow1242,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,X,-,-,-,-,-,-,-,-,-,-,-,d,-,-,i,-,-,-,k,-,-
nort2665,d,u,r,u,v,-,-,-,-,-,-,-,-,-,-,-,-,-,E,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,u,-,-,-,-,-,-
hind1269,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,l,-,t,-,i,-,k,-,-,-,3,-,-,-,r,-,n,o,-,-,-,-,-,-
urdu1245,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,q,-,E,-,k,-,-,-,3,-,-,-,r,-,n,3,-,-,-,-,-,-
bhoj1244,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,l,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-
maga1260,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,E,-,k,-,-,-,3,-,-,-,r,-,n,o,-,-,-,-,-,-
mait1250,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,b,-,o,-,k,-,-,-,3,-,-,-,r,-,n,o,-,-,-,-,-,-
east1436,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,n,-,t,-,a,-,g,-,-,-,o,-,-,-,r,-,n,u,-,-,-,-,-,-
mara1378,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,n,e,-,-,-,-,-,-
beng1280,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,m,-,i,-,k,-,-,-,o,-,-,-,r,-,-,a,-,-,-,-,-,-
assa1263,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,m,-,i,-,k,-,-,-,o,-,-,-,r,-,-,o,-,-,-,-,-,-
vedi1234,-,-,-,-,v,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-
pali1273,-,-,-,-,v,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,m,-,a,-,t,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-
kash1277,k,o,s,-,y,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,n,-,3,-,k,-,-,-,o,-,-,-,r,-,-,i,-,-,-,n,-,-
kamv1242,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,r,-,-,-,u,-,-,-,r,3,Z,i,-,-,-,-,-,-
east2308,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,r,u,S,i,-,-,-,-,-,-
lowe1390,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,d,-,-,-,-,-,-,-,-,-
homs1234,-,-,-,-,v,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,r,-,-,-,t,-,s,-,-,-,-,-,-,-,-,o,-,-,-,l,-,-
nucl1235,-,-,-,-,v,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,r,-,-,-,t,-,s,-,-,-,-,-,k,-,-,o,-,-,-,l,-,-
clas1249,-,-,-,-,v,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,r,-,-,-,t,-,s,-,-,-,-,-,k,-,-,o,-,-,-,m,-,-
