language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31
dobu1241,-,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,u,-,-,-
guma1254,-,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,u,-,-,-
anuk1239,-,-,i,i,y,a,k,a,-,-,-,-,-,r,u,k,a,-,-,-,-,-,r,u,v,-,-,e,-,n,i
tawa1275,-,-,-,-,d,-,-,i,-,-,-,-,-,d,-,-,i,-,-,-,-,-,d,-,-,-,-,i,-,-,-
dawa1242,-,-,-,-,k,-,-,a,-,-,-,-,-,r,u,k,a,-,-,-,-,-,r,u,-,-,-,e,-,n,a
ubir1237,-,-,-,-,t,-,-,i,-,-,-,-,-,r,-,-,i,-,-,-,-,-,r,-,-,-,-,i,-,n,-
kili1267,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,-,a,-,-,q,a,u,l,-,-,-,-,a,-,-,-
motu1246,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,r,-,-,-,-,u,-,-,-
hula1239,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,l,-,-,-,-,u,-,-,-
meke1243,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,p,-,-,-,-,o,-,-,-
pulu1242,-,-,-,-,p,-,-,-,-,-,-,-,-,w,-,-,u,-,-,p,-,-,w,-,-,-,-,u,-,-,-
pulu1242,-,-,-,-,p,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,w,-,-,-,-,u,-,-,-
caro1242,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,w,-,-,-,-,u,-,-,-
chuu1238,-,-,-,-,p,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,w,-,-,-,-,u,-,-,-
wole1240,-,-,-,-,h,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,l,l
mort1237,-,-,-,-,p,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,w,-,-,-,-,u,-,-,-
mars1254,-,-,-,-,h,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,l,l
gilb1244,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,a,-,-,n,-,-,g,-,-,-,-,a,-,-,-
gilb1244,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,a,a,a,n,-,-,g,-,-,-,-,a,-,-,-
mang1403,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,l,-,-,-,-,-,-,-,-
kaul1240,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,t,-,-,-,-,-,-,-,-
seng1281,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,t,-,-,-,-,-,-,-,-
lore1244,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,s,-,-,-,-,i,-,-,-
shar1244,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,a,-,-,m,e,-,s,-,-,-,-,i,-,-,-
saka1289,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,x,-,-,-,-,E,-,-,l
wamp1247,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,d,-,-,-,-,-,-,-,-
asum1237,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,p,-,-,-,-,u,-,-,-
tani1255,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,p,-,-,-,-,u,-,-,-
amba1266,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,v,-,-,-,-,e,-,-,-
tean1237,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,p,-,-,-,-,u,-,-,-
vano1237,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,p,-,-,-,-,u,-,-,-
tane1237,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,p,-,-,-,-,u,-,-,-
ayiw1239,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,p,-,-,-,-,e,-,-,-
siee1239,-,-,o,-,r,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,r,-,-,-,-,i,-,-,-
urav1235,-,-,a,-,r,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,r,-,-,-,-,e,-,-,-
anei1239,-,-,a,-,r,-,-,-,-,-,-,-,-,-,-,-,e,-,-,8,-,-,r,-,-,-,-,a,-,-,8
lena1238,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,i,-,-,h
sout2869,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,i,-,-,u
kwam1252,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,r,-,-,-,-,3,-,-,s
nort2847,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,i,a,-,h
sude1239,-,-,-,-,v,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,r,-,-,-,-,u,-,-,-
kuma1276,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,h,-,-,-,-,o,-,-,-
jawe1237,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,h,-,-,-,-,o,-,-,-
