language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35
hang1260,-,-,-,i,-,-,-,d,-,-,-,-,y,-,-,-,-,-,-,i,-,-,-,-,-,-,-,5,-,-,-,-,o,-,-
rund1242,-,-,-,i,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,5,-,-,-,-,o,-,-
haaa1252,-,-,-,i,-,-,-,d,-,y,-,-,i,-,-,-,-,-,-,i,-,-,-,-,-,-,-,5,-,-,-,-,o,-,-
vinz1238,-,-,-,i,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,5,-,-,-,-,o,-,-
soga1242,-,-,-,e,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,n,-,-,-,-,o,-,-
gwer1238,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,n,-,-,-,-,o,-,-
gand1255,-,-,-,e,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,n,-,5,-,-,o,-,-
suba1238,-,-,-,i,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,n,-,-,-,-,o,-,-
kuri1259,-,-,-,i,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,n,-,-,-,-,o,-,-
kuri1259,-,-,-,i,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,n,-,-,-,-,o,-,-
kuri1259,-,-,-,i,-,-,-,r,-,i,-,-,i,-,-,-,-,-,-,i,-,-,-,-,-,-,-,n,-,-,-,-,o,-,-
ngur1263,-,-,-,e,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,n,-,-,-,-,o,-,-
ikiz1238,-,-,-,i,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,n,-,-,-,-,o,-,-
ikiz1238,-,-,-,i,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,n,-,-,-,-,o,-,-
zana1238,-,-,-,e,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,n,-,-,-,-,o,-,-
ikom1245,-,-,-,e,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,n,-,-,-,-,o,-,-
gusi1247,-,-,-,e,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,n,-,-,-,-,o,-,-
jita1239,-,-,-,e,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,n,-,-,-,-,o,-,-
kway1241,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,n,-,-,-,-,o,-,-
kara1481,-,-,-,e,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,n,-,-,-,-,o,-,-
saam1283,-,-,-,e,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,n,-,-,-,-,o,-,-
saam1283,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,n,-,-,-,-,u,-,-
logo1258,-,-,-,-,-,-,-,l,-,-,-,-,i,-,-,-,-,-,-,i,-,-,-,-,-,-,-,n,-,-,-,-,o,-,-
masa1299,-,-,-,-,-,-,-,l,-,-,-,-,i,-,l,-,-,-,-,i,-,-,-,-,-,-,-,n,-,o,-,-,o,-,-
shii1238,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,n,-,-,-,-,o,-,-
chuk1274,-,-,-,i,-,-,-,g,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,g,-,-,-,-,o,-,-
thar1283,-,-,-,i,-,-,-,g,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,g,-,-,-,-,o,-,-
mwim1241,-,-,-,e,e,-,-,x,-,-,-,-,E,-,-,-,-,-,-,E,-,-,-,-,-,-,-,x,-,o,-,-,o,-,-
mwim1241,-,-,-,e,e,-,-,x,-,-,-,-,E,-,-,-,-,-,-,E,-,-,-,-,-,-,-,x,-,o,-,-,o,-,-
meru1245,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,y,-,-,-,-,o,-,-
meru1245,-,-,-,e,e,-,-,-,-,-,-,-,e,-,-,-,-,-,-,e,-,-,-,-,-,-,-,x,-,o,-,-,o,-,-
meru1245,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,y,-,-,-,-,o,-,-
meru1245,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,g,-,-,-,-,o,-,-
meru1245,m,w,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,n,-,-,-,-,i,-,-
meru1245,-,-,-,e,e,-,-,-,-,-,-,-,e,-,-,-,-,-,-,e,-,-,-,-,-,-,-,x,-,o,-,-,o,-,-
meru1245,-,-,-,e,e,-,-,-,-,-,-,-,e,-,-,-,-,-,-,e,-,-,-,-,-,-,-,x,-,o,-,-,o,-,-
embu1241,-,-,-,e,e,-,-,x,-,-,-,-,E,-,-,-,-,-,-,E,-,-,-,-,-,-,-,x,-,o,-,-,o,-,-
embu1241,-,-,-,e,e,-,-,x,-,-,-,-,E,-,-,-,-,-,-,E,-,-,-,-,-,-,-,x,-,o,-,-,o,-,-
kiku1240,-,-,-,i,i,-,-,x,-,-,-,-,E,-,-,-,-,-,-,E,-,-,-,-,-,-,-,x,-,o,-,-,o,-,-
