language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37
nyam1276,-,-,-,-,-,-,m,-,-,-,-,-,l,-,-,-,o,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
sumb1240,-,-,-,-,-,-,m,-,-,-,-,-,l,-,-,-,o,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
nyat1246,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,o,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
nyat1246,-,-,-,-,-,-,m,-,-,-,-,-,w,-,o,-,o,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
kimb1242,-,-,u,-,-,-,m,-,-,-,u,-,l,-,-,-,o,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
nila1242,-,-,-,-,-,-,m,-,-,-,u,-,l,-,-,-,o,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
toor1238,-,-,o,-,-,-,m,-,-,-,u,-,n,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
nyan1307,a,k,a,-,-,-,-,-,-,-,-,-,n,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
nyor1246,a,k,a,-,-,-,-,-,-,-,-,-,n,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
chig1238,a,k,a,-,-,-,-,-,-,-,-,-,n,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
nyam1277,-,-,o,-,-,-,m,-,-,-,u,-,n,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
zinz1238,-,-,o,-,-,-,m,-,-,-,u,-,n,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
haya1250,-,-,o,-,-,-,m,-,-,-,u,-,n,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
kere1283,-,-,o,-,-,-,m,-,-,-,u,-,n,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
shub1238,-,-,u,-,-,-,m,-,-,-,u,-,n,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
