language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63
logo1258,-,-,-,-,-,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,g,-,-,-,-,-,u,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
masa1299,-,-,-,-,k,a,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,f,-,-,-,-,-,u,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
shii1238,-,-,-,-,-,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,v,-,-,-,-,-,u,-,-,-,-,r,-,-,-,-,-,-,-,h,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
chuk1274,-,-,-,-,-,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,g,-,-,-,-,-,u,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
thar1283,-,-,-,-,-,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,g,-,-,-,-,-,u,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
mwim1241,-,-,-,-,-,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,x,-,-,-,u,-,u,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
mwim1241,-,-,-,-,-,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,x,-,-,-,u,-,u,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
meru1245,-,-,-,-,-,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
meru1245,-,-,-,-,-,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,x,-,-,-,u,-,u,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
meru1245,-,-,-,-,-,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
meru1245,-,-,-,-,-,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,g,-,-,-,-,-,u,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
meru1245,-,-,-,-,-,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,f,-,-,-,-,-,u,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
meru1245,-,-,-,-,-,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,x,-,-,-,u,-,u,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
meru1245,-,-,-,-,-,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,x,-,-,-,u,-,u,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
embu1241,-,-,-,-,-,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,x,-,-,-,u,-,u,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
embu1241,-,-,-,-,-,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,x,-,-,-,u,-,u,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
kiku1240,-,-,-,-,-,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,x,-,-,-,u,-,u,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
kamb1297,-,-,-,-,-,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
kamb1297,-,-,-,-,-,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
kamb1297,-,-,-,-,-,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,u,t,-,-,-,-,-,-,-,a,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
dhai1238,-,-,-,-,-,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,g,-,-,-,-,-,u,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
temi1247,-,-,-,-,-,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,g,-,-,-,-,-,u,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
moch1256,-,-,-,-,-,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,f,-,-,-,-,-,u,-,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
vunj1238,-,-,-,-,-,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,f,-,-,-,-,-,u,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
vunj1238,-,-,-,-,-,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,f,-,-,-,-,-,u,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
vunj1238,-,-,-,-,-,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,f,-,-,-,-,-,u,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
romb1244,-,-,-,-,-,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,f,-,-,-,-,-,u,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
romb1244,-,-,-,-,-,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,f,-,-,-,-,-,u,-,-,-,-,t,-,-,-,-,-,-,-,S,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
romb1244,-,-,-,-,-,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,f,-,-,-,-,-,u,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
mach1266,-,-,-,-,-,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,f,-,-,-,-,-,u,-,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
mach1266,-,-,-,-,-,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,f,-,-,-,-,-,u,-,-,-,-,h,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
mach1266,-,-,-,-,-,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,f,-,-,-,-,-,u,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
gwen1239,-,-,-,-,-,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,f,-,-,-,-,-,u,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
kahe1238,-,-,-,-,-,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,f,-,-,-,-,-,u,-,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
maor1244,-,-,-,-,-,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
ndzw1235,-,-,-,-,-,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
ngaz1238,-,-,-,-,-,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,f,-,-,-,u,-,u,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
nyan1308,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,f,-,-,-,u,-,u,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
kund1255,-,-,-,-,-,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,f,-,-,-,-,-,u,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
tumb1250,-,-,-,-,-,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,f,-,-,-,-,-,u,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
shon1251,-,-,-,-,-,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,f,-,-,-,u,-,u,-,-,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
kala1384,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,f,-,-,-,-,-,u,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
vend1245,-,-,-,-,-,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,p,-,f,-,-,-,-,-,u,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
luya1241,-,-,-,-,-,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,f,-,-,-,u,-,u,-,-,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
taab1238,-,-,-,-,-,a,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,f,-,-,-,-,-,u,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
bemb1257,-,-,-,-,-,a,-,m,-,-,a,-,-,-,a,-,-,-,-,-,-,-,-,f,-,-,-,-,-,u,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
lala1264,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,k,-,-,-,w,i,i,n,a,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
lamb1271,-,-,-,-,-,a,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,f,-,-,-,-,-,u,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
kaon1241,-,-,-,-,-,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,f,-,-,-,-,-,u,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
lenj1248,-,-,-,-,-,-,-,l,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,f,-,-,-,-,-,u,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
soli1239,-,-,-,-,-,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,f,-,-,-,-,-,u,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
tong1318,-,-,-,-,-,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,a,-,f,-,-,-,-,-,u,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
luba1250,-,-,-,-,-,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-
hemb1242,-,-,-,-,-,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,a,-,g,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,a,-,-,n,-,-,i,-,-,-,-
sang1331,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,a,-,n,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-
song1303,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,w,i,i,m,u,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
luba1249,-,-,-,-,-,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,f,-,-,-,u,-,u,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
enya1247,-,-,-,-,-,-,-,m,-,-,-,-,-,-,a,a,-,a,-,-,-,a,-,f,-,-,-,u,-,u,-,-,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
song1300,-,-,-,-,-,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,a,-,k,-,-,-,u,-,u,-,-,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
holo1240,-,-,-,-,-,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,k,-,-,-,-,-,i,-,-,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
diri1252,-,-,-,-,-,-,-,x,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,d,-,-,-,-,-,-,-,i,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-
buku1249,-,-,-,-,-,-,-,f,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,r,-,-,-,-,-,-,-,a,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
mitu1240,-,-,-,-,-,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,a,-,n,-,-,-,u,-,u,-,-,-,-,n,-,-,-,-,-,-,-,a,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
lega1249,-,-,-,-,-,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,a,-,n,-,-,-,o,-,o,-,-,-,-,n,-,-,-,-,-,-,-,a,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
nyan1304,-,-,-,-,-,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,k,-,-,-,u,-,u,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
nyan1304,-,-,-,-,-,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,k,-,-,-,u,-,u,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
amba1263,-,-,-,-,-,-,-,b,-,-,i,s,-,-,a,-,-,-,-,-,-,-,-,b,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
lozi1239,-,-,-,-,-,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,f,-,-,-,-,-,u,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
kgal1244,-,-,-,-,-,-,-,l,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,g,-,-,-,-,-,u,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
tswa1253,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,f,-,-,-,u,-,u,-,-,-,-,r,-,-,-,-,-,-,-,a,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
tswa1255,-,-,-,-,-,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,f,-,-,-,u,-,u,-,-,-,-,r,-,-,-,-,-,-,-,a,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
tson1249,-,-,-,-,-,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,f,-,-,-,u,-,u,-,-,-,-,r,-,-,-,h,-,-,-,a,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
xhos1239,-,-,-,-,-,a,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,f,-,-,-,-,-,u,-,-,-,-,t,-,-,-,h,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
zulu1248,-,-,-,-,-,a,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,f,-,-,-,-,-,u,-,-,-,-,t,-,-,-,h,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
zulu1248,-,-,-,-,a,a,-,m,-,-,a,-,-,-,a,-,-,-,-,-,-,-,-,f,-,-,-,u,-,u,-,-,-,-,t,-,-,-,h,-,-,-,a,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
makh1261,-,-,-,-,-,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,k,-,h,-,-,-,u,-,u,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
makh1264,-,-,-,-,-,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,k,-,h,-,-,-,u,-,u,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
buyu1239,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,t,-,-,-,h,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
song1299,-,-,-,-,-,-,-,m,-,-,-,b,-,-,e,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
song1299,-,-,-,-,n,g,-,b,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ding1239,-,-,-,-,-,-,-,m,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ding1239,-,-,-,-,-,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,y,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ding1239,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,f,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,u,-,-,r,-,-,-,-,-,-,-
yans1239,-,-,-,-,-,-,-,m,-,-,-,-,-,-,E,-,-,-,-,-,-,-,-,-,-,-,-,-,-,y,-,m,-,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
mpuo1241,-,-,-,-,-,-,-,m,-,-,E,s,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,m,-,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
boma1251,-,-,-,-,-,-,-,m,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
nzad1234,-,-,-,-,-,-,-,m,-,-,E,E,-,-,E,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,E,-,-,-,-,-,-,-,-,-,-,-,-,-
wuum1239,-,-,-,-,-,-,-,m,-,-,-,-,-,-,E,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,E,-,-,-,-,-,l,-,-,-,-,-,-,-
lwel1234,-,-,-,-,-,-,-,m,-,-,-,-,-,-,E,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,y,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ngon1267,-,-,-,-,-,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,t,-,-,s,-,-,-,-,-,-,-
yaka1269,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,s,-,-,i,-,-,-,-
suku1259,-,-,-,-,-,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,S,-,-,i,-,-,-,-
yomb1244,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,n,-,-,z,-,-,i,-,-,-,-
yomb1244,-,-,-,-,-,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,n,-,-,z,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
yomb1244,-,-,-,-,-,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,f,-,-,-,-,-,u,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
yomb1244,-,-,-,-,-,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,f,-,-,-,-,-,u,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
koon1244,-,-,-,-,-,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,f,-,-,-,-,-,u,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
koon1244,-,-,-,-,-,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,n,-,-,z,-,-,i,-,-,-,-
koon1244,-,-,-,-,-,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,a,a,-,-,y,-,-,i,-,-,-,-
koon1244,-,-,-,-,-,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,f,-,-,-,-,-,u,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
east2782,-,-,-,-,-,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,s,-,-,i,-,-,-,-
east2782,-,-,-,-,-,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,f,-,-,-,-,-,u,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,m,a,m,b,i,s,-,-,i,-,-,-,-
east2782,-,-,-,-,-,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,f,-,-,-,-,-,u,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
east2782,-,-,-,-,-,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,f,-,-,-,-,-,u,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
east2782,-,-,-,-,-,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,f,-,-,-,-,-,u,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-
